Ülke,Tıklamalar,Gösterimler,TO,Pozisyon
Ürdün,1,112,0.89%,17.13
Kuveyt,1,108,0.93%,8.3
Yeni Zelanda,1,77,1.3%,11.23
Bolivya,1,70,1.43%,16.61
Gine,1,69,1.45%,2.23
Umman,1,62,1.61%,7.24
Liberya,1,51,1.96%,2.73
Bahreyn,1,51,1.96%,15.67
Hong Kong,1,47,2.13%,6.17
Lübnan,1,46,2.17%,4.33
Angola,1,43,2.33%,21.42
Filistin,1,40,2.5%,12.45
Letonya,1,30,3.33%,5.1
Kamerun,1,29,3.45%,9.76
Maldivler,1,22,4.55%,6.91
Moritanya,1,18,5.56%,2.11
Mali,1,14,7.14%,7.79
Güney Kore,0,979,0%,20.38
Vietnam,0,932,0%,18.72
Filipinler,0,835,0%,18.59
Arjantin,0,540,0%,20.74
Colombia,0,474,0%,17.7
Bangladeş,0,363,0%,19.03
Ekvador,0,332,0%,18.67
Pakistan,0,324,0%,15.4
Macaristan,0,232,0%,6.11
Peru,0,211,0%,17.66
Şili,0,207,0%,16.21
Tayvan,0,202,0%,20.17
Portekiz,0,146,0%,13.97
Tunus,0,120,0%,15.72
Belarus,0,117,0%,12.81
Dominik Cumhuriyeti,0,105,0%,17.26
Uruguay,0,104,0%,17.47
Paraguay,0,104,0%,19.67
Nepal,0,92,0%,21.39
Jamaika,0,91,0%,16.92
Trinidad ve Tobago,0,88,0%,20.45
Slovakya,0,80,0%,5.53
Çin,0,72,0%,4.49
Tanzanya,0,72,0%,4.97
Etiyopya,0,72,0%,18.81
Kongo - Kinşasa,0,60,0%,5.43
Kosta Rika,0,60,0%,18.13
Guatemala,0,57,0%,18.19
Barbados,0,55,0%,20.95
Fildişi Sahili,0,53,0%,9.75
Gana,0,50,0%,7.82
Honduras,0,49,0%,16.78
Lüksemburg,0,46,0%,2.91
Kamboçya,0,45,0%,16.56
Uganda,0,40,0%,5.55
Sri Lanka,0,40,0%,12.82
Slovenya,0,39,0%,7.59
Ermenistan,0,35,0%,6.11
Liechtenstein,0,32,0%,4.84
Panama,0,31,0%,18.52
Tacikistan,0,28,0%,2.21
Estonya,0,28,0%,6.21
El Salvador,0,27,0%,14.3
Bahamalar,0,26,0%,26.35
Moğolistan,0,24,0%,8.17
Gabon,0,24,0%,8.92
Porto Riko,0,22,0%,22.64
Sudan,0,20,0%,3.2
Burkina Faso,0,20,0%,5.7
Myanmar (Burma),0,20,0%,25.75
Küba,0,17,0%,7.41
Nikaragua,0,16,0%,16.5
Gambia,0,13,0%,2.85
Benin,0,12,0%,16.92
Mauritius Adası,0,12,0%,18
Beliz,0,12,0%,23.08
Botswana,0,11,0%,8.27
İzlanda,0,11,0%,10.27
Togo,0,11,0%,11.36
Haiti,0,11,0%,20.36
Guyana,0,10,0%,5.4
Madagaskar,0,10,0%,9.8
St. Kitts ve Nevis,0,10,0%,28.9
Nijer,0,9,0%,3.67
Sierra Leone,0,9,0%,7.33
Bermuda,0,9,0%,24.33
Kongo - Brazavil,0,9,0%,26.22
Zambiya,0,8,0%,2.62
Cape Verde,0,8,0%,22.25
St. Lucia,0,8,0%,45
Seyşel Adaları,0,7,0%,17
Grenada,0,7,0%,27.71
Namibia,0,6,0%,2.33
Zimbabwe,0,6,0%,9.5
Antigua ve Barbuda,0,6,0%,25.83
Ruanda,0,6,0%,28.33
Butan,0,6,0%,37.67
Cibuti,0,5,0%,2.6
Batı Sahra,0,5,0%,3.2
Makau,0,5,0%,11.2
Brunei,0,5,0%,12.8
Laos,0,5,0%,13
Aruba,0,5,0%,13.8
Cayman Adaları,0,5,0%,35.6
Britanya Virjin Adaları,0,5,0%,42
Turks ve Caicos Adaları,0,4,0%,1
Monako,0,4,0%,4.5
Dominika,0,4,0%,11.25
Man Adası,0,4,0%,17.5
Lesotho,0,4,0%,17.75
Yemen,0,4,0%,21.5
Guadeloupe,0,4,0%,37.75
Samoa,0,3,0%,1.33
Curaçao,0,3,0%,2.67
Fiji,0,3,0%,3
St. Vincent ve Grenadinler,0,3,0%,5.33
Réunion,0,3,0%,6.33
Hollanda Karayipleri,0,3,0%,7.33
Sint Maarten,0,3,0%,25.33
Burundi,0,2,0%,1
Güney Sudan,0,2,0%,1.5
St. Martin,0,2,0%,3
Ekvator Ginesi,0,2,0%,14
Guam,0,2,0%,15.5
Amerikan Samoası,0,2,0%,20.5
Papua Yeni Gine,0,2,0%,24
Jersey,0,2,0%,28
Andorra,0,2,0%,33
Comoros,0,1,0%,1
Gine-Bissau,0,1,0%,1
San Marino,0,1,0%,1
Svaziland,0,1,0%,2
Tonga,0,1,0%,8
Çad,0,1,0%,10
ABD Virjin Adaları,0,1,0%,12
Anguilla,0,1,0%,13
Grönland,0,1,0%,22
Guernsey,0,1,0%,26
Malawi,0,1,0%,54
Vanuatu,0,1,0%,61
